movement_id,item_id,zone_id,movement_type,timestamp
MOV000036,ITM0463,ZONE-G,Restock,2024-06-30
MOV000037,ITM0199,ZONE-E,Retrieval,2024-06-14
MOV000038,ITM0215,ZONE-I,Reposition,2024-01-17
MOV000039,ITM0204,ZONE-C,Reposition,2024-05-29
MOV000040,ITM0412,ZONE-H,Restock,2024-12-04
MOV000041,ITM0415,ZONE-F,Reposition,2024-02-14
MOV000042,ITM0215,ZONE-D,Restock,2025-05-16
MOV000043,ITM0079,ZONE-I,Reposition,2024-07-07
MOV000044,ITM0266,ZONE-E,Retrieval,2024-03-01
MOV000045,ITM0479,ZONE-J,Reposition,2024-10-20
MOV000046,ITM0389,ZONE-F,Retrieval,2024-02-02
MOV000047,ITM0378,ZONE-I,Restock,2024-10-25
MOV000048,ITM0034,ZONE-G,Restock,2025-02-18
MOV000049,ITM0288,ZONE-E,Restock,2025-07-02
MOV000050,ITM0017,ZONE-B,Retrieval,2025-03-06
MOV000051,ITM0164,ZONE-D,Restock,2025-05-09
MOV000052,ITM0012,ZONE-B,Restock,2024-04-09
MOV000053,ITM0201,ZONE-C,Retrieval,2024-01-23
MOV000054,ITM0228,ZONE-J,Reposition,2025-02-23
MOV000055,ITM0345,ZONE-C,Restock,2025-02-27
MOV000056,ITM0365,ZONE-D,Reposition,2025-05-01
MOV000057,ITM0464,ZONE-F,Reposition,2024-03-29
MOV000058,ITM0447,ZONE-C,Restock,2024-07-27
MOV000059,ITM0000,ZONE-J,Restock,2024-09-27
MOV000060,ITM0318,ZONE-A,Retrieval,2025-02-09
MOV000061,ITM0216,ZONE-A,Retrieval,2024-10-04
MOV000062,ITM0033,ZONE-I,Restock,2024-07-24
MOV000063,ITM0358,ZONE-I,Reposition,2024-11-23
MOV000064,ITM0265,ZONE-E,Retrieval,2024-12-01
MOV000065,ITM0127,ZONE-I,Retrieval,2024-02-07
MOV000066,ITM0211,ZONE-G,Restock,2024-08-15
MOV000067,ITM0262,ZONE-I,Restock,2025-04-27
MOV000068,ITM0311,ZONE-G,Restock,2024-05-13
MOV000069,ITM0079,ZONE-I,Restock,2025-01-24
MOV000070,ITM0164,ZONE-B,Retrieval,2025-02-28
MOV000071,ITM0412,ZONE-H,Retrieval,2025-05-24
MOV000072,ITM0251,ZONE-G,Retrieval,2025-03-02
MOV000073,ITM0011,ZONE-F,Reposition,2025-04-18
MOV000074,ITM0400,ZONE-E,Retrieval,2025-07-21
MOV000075,ITM0303,ZONE-D,Retrieval,2024-12-26
MOV000076,ITM0211,ZONE-G,Restock,2024-07-29
MOV000077,ITM0281,ZONE-C,Retrieval,2024-06-27
MOV000078,ITM0111,ZONE-H,Retrieval,2024-02-27
MOV000079,ITM0210,ZONE-B,Retrieval,2024-03-13
MOV000080,ITM0377,ZONE-A,Restock,2024-08-02
MOV000081,ITM0238,ZONE-B,Retrieval,2024-03-13
MOV000082,ITM0267,ZONE-I,Retrieval,2025-04-11
MOV000083,ITM0404,ZONE-E,Reposition,2024-09-27
MOV000084,ITM0297,ZONE-H,Reposition,2025-05-13
MOV000085,ITM0316,ZONE-C,Reposition,2024-12-19
MOV000086,ITM0057,ZONE-G,Reposition,2024-08-21
MOV000087,ITM0437,ZONE-B,Restock,2024-11-14
MOV000088,ITM0033,ZONE-H,Reposition,2024-01-19
MOV000089,ITM0262,ZONE-G,Retrieval,2025-07-28
MOV000090,ITM0364,ZONE-E,Reposition,2025-01-06
MOV000091,ITM0034,ZONE-D,Restock,2024-07-02
MOV000092,ITM0270,ZONE-A,Reposition,2024-10-03
MOV000093,ITM0448,ZONE-E,Reposition,2024-05-24
MOV000094,ITM0473,ZONE-I,Restock,2024-03-21
MOV000095,ITM0226,ZONE-J,Restock,2024-11-17
MOV000096,ITM0024,ZONE-D,Restock,2025-03-10
MOV000097,ITM0233,ZONE-I,Restock,2024-02-12
MOV000098,ITM0058,ZONE-B,Restock,2024-11-08
MOV000099,ITM0250,ZONE-D,Restock,2024-10-19
MOV000100,ITM0334,ZONE-I,Retrieval,2024-03-09
MOV000101,ITM0085,ZONE-D,Reposition,2024-02-25
MOV000102,ITM0250,ZONE-E,Reposition,2024-07-22
MOV000103,ITM0389,ZONE-H,Restock,2025-02-23
MOV000104,ITM0179,ZONE-A,Restock,2025-07-20
MOV000105,ITM0206,ZONE-A,Retrieval,2025-07-03
MOV000106,ITM0343,ZONE-I,Retrieval,2024-08-30
MOV000107,ITM0148,ZONE-I,Restock,2024-07-19
MOV000108,ITM0070,ZONE-D,Retrieval,2025-04-18
MOV000109,ITM0120,ZONE-B,Retrieval,2025-06-10
MOV000110,ITM0252,ZONE-I,Restock,2024-03-17
MOV000111,ITM0092,ZONE-D,Restock,2025-04-22
MOV000112,ITM0255,ZONE-F,Restock,2025-03-15
MOV000113,ITM0253,ZONE-A,Restock,2024-09-19
MOV000114,ITM0351,ZONE-I,Reposition,2024-07-03
MOV000115,ITM0287,ZONE-E,Reposition,2024-02-24
MOV000116,ITM0308,ZONE-C,Restock,2024-11-03
MOV000117,ITM0058,ZONE-D,Retrieval,2025-05-30
MOV000118,ITM0068,ZONE-A,Restock,2024-10-25
MOV000119,ITM0445,ZONE-I,Reposition,2025-07-05
MOV000120,ITM0387,ZONE-H,Retrieval,2024-08-17
MOV000121,ITM0085,ZONE-D,Reposition,2025-01-11
MOV000122,ITM0273,ZONE-B,Restock,2024-10-12
MOV000123,ITM0226,ZONE-I,Reposition,2024-05-17
MOV000124,ITM0080,ZONE-D,Reposition,2025-04-22
MOV000125,ITM0497,ZONE-I,Reposition,2024-01-07
MOV000126,ITM0113,ZONE-J,Retrieval,2025-02-22
MOV000127,ITM0183,ZONE-C,Reposition,2025-04-16
MOV000128,ITM0279,ZONE-G,Retrieval,2025-02-23
MOV000129,ITM0321,ZONE-G,Restock,2024-10-02
MOV000130,ITM0396,ZONE-J,Restock,2025-07-14
MOV000131,ITM0317,ZONE-D,Reposition,2025-07-24
MOV000132,ITM0053,ZONE-B,Retrieval,2024-03-30
MOV000133,ITM0398,ZONE-I,Restock,2024-10-08
MOV000134,ITM0196,ZONE-D,Retrieval,2025-07-01
MOV000135,ITM0386,ZONE-H,Retrieval,2024-06-19
MOV000136,ITM0292,ZONE-B,Reposition,2024-12-20
MOV000137,ITM0292,ZONE-H,Reposition,2024-07-22
MOV000138,ITM0484,ZONE-J,Retrieval,2024-10-15
MOV000139,ITM0386,ZONE-E,Retrieval,2025-04-06
MOV000140,ITM0446,ZONE-G,Reposition,2024-06-21
MOV000141,ITM0290,ZONE-G,Retrieval,2024-10-27
MOV000142,ITM0179,ZONE-I,Reposition,2025-06-12
MOV000143,ITM0470,ZONE-C,Retrieval,2024-05-19
MOV000144,ITM0379,ZONE-J,Reposition,2024-10-04
MOV000145,ITM0411,ZONE-D,Retrieval,2025-05-25
MOV000146,ITM0221,ZONE-J,Reposition,2024-12-11
MOV000147,ITM0273,ZONE-D,Retrieval,2024-05-19
MOV000148,ITM0377,ZONE-J,Restock,2024-04-23
MOV000149,ITM0243,ZONE-E,Restock,2025-05-21
MOV000150,ITM0419,ZONE-F,Retrieval,2024-12-31
MOV000151,ITM0416,ZONE-C,Restock,2025-01-31
MOV000152,ITM0447,ZONE-D,Retrieval,2024-04-20
MOV000153,ITM0153,ZONE-C,Retrieval,2024-12-23
MOV000154,ITM0303,ZONE-B,Restock,2024-08-25
MOV000155,ITM0423,ZONE-J,Retrieval,2024-01-03
MOV000156,ITM0272,ZONE-I,Reposition,2025-02-07
MOV000157,ITM0423,ZONE-A,Retrieval,2024-01-25
MOV000158,ITM0134,ZONE-B,Retrieval,2025-05-23
MOV000159,ITM0312,ZONE-H,Restock,2025-04-09
MOV000160,ITM0007,ZONE-G,Reposition,2024-03-01
MOV000161,ITM0127,ZONE-A,Retrieval,2025-05-22
MOV000162,ITM0372,ZONE-E,Retrieval,2024-05-02
MOV000163,ITM0055,ZONE-J,Retrieval,2025-05-11
MOV000164,ITM0125,ZONE-F,Retrieval,2024-02-24
MOV000165,ITM0158,ZONE-E,Retrieval,2024-06-11
MOV000166,ITM0058,ZONE-D,Retrieval,2024-02-08
MOV000167,ITM0057,ZONE-A,Reposition,2024-03-23
MOV000168,ITM0139,ZONE-G,Reposition,2025-06-29
MOV000169,ITM0175,ZONE-I,Retrieval,2024-04-22
MOV000170,ITM0414,ZONE-F,Retrieval,2025-02-28
MOV000171,ITM0107,ZONE-C,Restock,2024-08-17
MOV000172,ITM0210,ZONE-J,Reposition,2024-10-09
MOV000173,ITM0446,ZONE-D,Reposition,2024-10-13
MOV000174,ITM0073,ZONE-J,Retrieval,2024-06-03
MOV000175,ITM0166,ZONE-E,Reposition,2024-06-13
MOV000176,ITM0459,ZONE-A,Reposition,2024-06-30
MOV000177,ITM0403,ZONE-E,Restock,2024-08-26
MOV000178,ITM0356,ZONE-A,Restock,2024-12-04
MOV000179,ITM0303,ZONE-I,Reposition,2025-05-26
MOV000180,ITM0232,ZONE-G,Reposition,2024-09-22
MOV000181,ITM0326,ZONE-C,Reposition,2024-07-05
MOV000182,ITM0371,ZONE-I,Retrieval,2024-02-09
MOV000183,ITM0181,ZONE-B,Restock,2025-05-07
MOV000184,ITM0121,ZONE-G,Retrieval,2025-01-25
MOV000185,ITM0333,ZONE-I,Restock,2024-09-16
MOV000186,ITM0202,ZONE-F,Restock,2024-06-24
MOV000187,ITM0454,ZONE-J,Restock,2024-11-24
MOV000188,ITM0028,ZONE-E,Reposition,2024-07-18
MOV000189,ITM0201,ZONE-G,Restock,2024-07-14
MOV000190,ITM0092,ZONE-F,Retrieval,2025-06-14
MOV000191,ITM0328,ZONE-E,Restock,2024-03-02
MOV000192,ITM0355,ZONE-B,Retrieval,2024-11-22
MOV000193,ITM0175,ZONE-H,Restock,2024-10-07
MOV000194,ITM0329,ZONE-G,Restock,2024-08-14
MOV000195,ITM0210,ZONE-F,Reposition,2024-02-27
MOV000196,ITM0183,ZONE-E,Retrieval,2025-04-21
MOV000197,ITM0094,ZONE-E,Restock,2025-01-10
MOV000198,ITM0272,ZONE-I,Restock,2024-08-30
MOV000199,ITM0136,ZONE-A,Retrieval,2025-01-01
MOV000200,ITM0236,ZONE-I,Restock,2025-05-14
MOV000201,ITM0352,ZONE-F,Reposition,2024-09-08
MOV000202,ITM0417,ZONE-D,Retrieval,2024-11-17
MOV000203,ITM0428,ZONE-J,Reposition,2025-01-10
MOV000204,ITM0471,ZONE-G,Retrieval,2025-02-12
MOV000205,ITM0264,ZONE-I,Retrieval,2025-05-02
MOV000206,ITM0134,ZONE-E,Retrieval,2024-12-08
MOV000207,ITM0143,ZONE-E,Restock,2024-08-27
MOV000208,ITM0018,ZONE-H,Retrieval,2024-05-18
MOV000209,ITM0230,ZONE-G,Retrieval,2024-05-01
MOV000210,ITM0133,ZONE-H,Retrieval,2025-02-23
MOV000211,ITM0113,ZONE-J,Reposition,2025-07-14
MOV000212,ITM0498,ZONE-B,Retrieval,2024-10-30
MOV000213,ITM0138,ZONE-I,Restock,2024-04-24
MOV000214,ITM0124,ZONE-C,Retrieval,2024-12-08
MOV000215,ITM0203,ZONE-F,Retrieval,2024-09-07
MOV000216,ITM0060,ZONE-F,Reposition,2024-01-07
MOV000217,ITM0249,ZONE-B,Restock,2024-06-27
MOV000218,ITM0297,ZONE-G,Restock,2024-05-24
MOV000219,ITM0012,ZONE-I,Restock,2025-02-19
MOV000220,ITM0395,ZONE-J,Retrieval,2024-04-30
MOV000221,ITM0254,ZONE-A,Retrieval,2024-05-03
MOV000222,ITM0084,ZONE-H,Restock,2024-05-29
MOV000223,ITM0457,ZONE-B,Restock,2025-01-31
MOV000224,ITM0019,ZONE-A,Reposition,2025-01-15
MOV000225,ITM0049,ZONE-H,Restock,2024-01-01
MOV000226,ITM0163,ZONE-B,Retrieval,2024-08-31
MOV000227,ITM0091,ZONE-F,Retrieval,2025-02-01
MOV000228,ITM0087,ZONE-F,Retrieval,2024-09-07
MOV000229,ITM0068,ZONE-E,Reposition,2025-07-29
MOV000230,ITM0036,ZONE-H,Restock,2024-10-25
MOV000231,ITM0252,ZONE-C,Retrieval,2024-10-23
MOV000232,ITM0251,ZONE-J,Reposition,2025-05-14
MOV000233,ITM0139,ZONE-D,Reposition,2024-04-24
MOV000234,ITM0354,ZONE-G,Retrieval,2024-01-01
MOV000235,ITM0380,ZONE-G,Reposition,2025-07-06
MOV000236,ITM0167,ZONE-H,Reposition,2025-04-26
MOV000237,ITM0053,ZONE-B,Retrieval,2025-05-24
MOV000238,ITM0385,ZONE-B,Reposition,2024-11-30
MOV000239,ITM0177,ZONE-D,Retrieval,2025-04-09
MOV000240,ITM0296,ZONE-J,Retrieval,2024-05-20
MOV000241,ITM0300,ZONE-I,Reposition,2024-05-16
MOV000242,ITM0358,ZONE-J,Retrieval,2024-06-15
MOV000243,ITM0105,ZONE-I,Retrieval,2024-12-08
MOV000244,ITM0136,ZONE-D,Restock,2025-02-13
MOV000245,ITM0189,ZONE-I,Retrieval,2024-03-05
MOV000246,ITM0127,ZONE-C,Restock,2024-03-07
MOV000247,ITM0341,ZONE-E,Restock,2025-03-08
MOV000248,ITM0046,ZONE-J,Restock,2024-02-19
MOV000249,ITM0004,ZONE-I,Restock,2024-11-09
MOV000250,ITM0459,ZONE-F,Reposition,2024-11-04
MOV000251,ITM0256,ZONE-C,Reposition,2024-04-24
MOV000252,ITM0299,ZONE-J,Retrieval,2025-07-22
MOV000253,ITM0149,ZONE-I,Retrieval,2024-12-07
MOV000254,ITM0293,ZONE-F,Retrieval,2025-06-13
MOV000255,ITM0242,ZONE-D,Reposition,2025-05-09
MOV000256,ITM0274,ZONE-D,Restock,2024-09-25
MOV000257,ITM0207,ZONE-H,Reposition,2024-03-20
MOV000258,ITM0414,ZONE-G,Reposition,2025-03-31
MOV000259,ITM0114,ZONE-A,Retrieval,2024-10-25
MOV000260,ITM0194,ZONE-F,Retrieval,2024-07-20
MOV000261,ITM0342,ZONE-H,Retrieval,2025-05-17
MOV000262,ITM0169,ZONE-C,Restock,2025-04-29
MOV000263,ITM0378,ZONE-I,Restock,2025-07-13
MOV000264,ITM0081,ZONE-J,Reposition,2024-01-18
MOV000265,ITM0153,ZONE-B,Restock,2025-04-22
MOV000266,ITM0140,ZONE-F,Retrieval,2025-05-02
MOV000267,ITM0313,ZONE-A,Restock,2025-03-21
MOV000268,ITM0145,ZONE-B,Restock,2024-12-05
MOV000269,ITM0322,ZONE-E,Restock,2025-06-14
MOV000270,ITM0121,ZONE-A,Restock,2024-04-25
MOV000271,ITM0251,ZONE-H,Retrieval,2024-03-14
MOV000272,ITM0342,ZONE-A,Retrieval,2024-09-25
MOV000273,ITM0386,ZONE-I,Reposition,2024-04-25
MOV000274,ITM0310,ZONE-J,Reposition,2024-06-12
MOV000275,ITM0088,ZONE-C,Reposition,2024-08-09
MOV000276,ITM0474,ZONE-B,Restock,2024-05-05
MOV000277,ITM0057,ZONE-A,Restock,2024-06-24
MOV000278,ITM0491,ZONE-I,Retrieval,2025-01-09
MOV000279,ITM0062,ZONE-D,Reposition,2025-05-12
MOV000280,ITM0346,ZONE-A,Retrieval,2024-03-25
MOV000281,ITM0307,ZONE-A,Reposition,2025-01-17
MOV000282,ITM0486,ZONE-G,Reposition,2025-04-07
MOV000283,ITM0472,ZONE-B,Reposition,2025-03-26
MOV000284,ITM0381,ZONE-G,Restock,2025-06-01
MOV000285,ITM0279,ZONE-G,Reposition,2025-07-03
MOV000286,ITM0071,ZONE-J,Reposition,2024-04-25
MOV000287,ITM0008,ZONE-I,Restock,2024-01-08
MOV000288,ITM0365,ZONE-G,Reposition,2024-08-05
MOV000289,ITM0420,ZONE-A,Restock,2025-02-07
MOV000290,ITM0093,ZONE-H,Restock,2025-07-20
MOV000291,ITM0372,ZONE-H,Retrieval,2024-10-30
MOV000292,ITM0338,ZONE-D,Restock,2025-04-11
MOV000293,ITM0436,ZONE-H,Restock,2024-03-28
MOV000294,ITM0335,ZONE-D,Restock,2024-01-10
MOV000295,ITM0151,ZONE-H,Reposition,2024-11-03
MOV000296,ITM0491,ZONE-E,Retrieval,2025-03-09
MOV000297,ITM0404,ZONE-D,Reposition,2024-06-12
MOV000298,ITM0355,ZONE-F,Restock,2024-08-26
MOV000299,ITM0039,ZONE-B,Restock,2024-11-12
MOV000300,ITM0358,ZONE-B,Retrieval,2024-11-30
MOV000301,ITM0494,ZONE-B,Retrieval,2024-01-18
MOV000302,ITM0061,ZONE-I,Restock,2024-03-11
MOV000303,ITM0253,ZONE-J,Restock,2024-06-23
MOV000304,ITM0453,ZONE-C,Reposition,2024-12-04
MOV000305,ITM0068,ZONE-J,Restock,2024-09-04
MOV000306,ITM0397,ZONE-D,Reposition,2024-07-11
MOV000307,ITM0244,ZONE-J,Retrieval,2025-02-22
MOV000308,ITM0364,ZONE-H,Reposition,2024-11-20
MOV000309,ITM0169,ZONE-D,Restock,2024-11-01
MOV000310,ITM0177,ZONE-J,Reposition,2024-07-22
MOV000311,ITM0188,ZONE-J,Reposition,2024-05-02
MOV000312,ITM0259,ZONE-G,Retrieval,2025-07-23
MOV000313,ITM0071,ZONE-E,Reposition,2025-03-22
MOV000314,ITM0471,ZONE-I,Restock,2025-05-05
MOV000315,ITM0458,ZONE-D,Reposition,2025-03-08
MOV000316,ITM0016,ZONE-C,Reposition,2024-05-07
MOV000317,ITM0369,ZONE-B,Reposition,2025-07-01
MOV000318,ITM0340,ZONE-A,Restock,2024-02-16
MOV000319,ITM0056,ZONE-F,Reposition,2025-05-19
MOV000320,ITM0217,ZONE-J,Restock,2024-04-24
MOV000321,ITM0106,ZONE-B,Reposition,2025-02-19
MOV000322,ITM0303,ZONE-H,Retrieval,2024-08-10
MOV000323,ITM0427,ZONE-F,Retrieval,2025-05-17
MOV000324,ITM0172,ZONE-E,Retrieval,2024-04-05
MOV000325,ITM0218,ZONE-B,Restock,2024-04-16
MOV000326,ITM0463,ZONE-G,Restock,2024-02-01
MOV000327,ITM0246,ZONE-B,Restock,2025-05-07
MOV000328,ITM0217,ZONE-E,Reposition,2024-03-06
MOV000329,ITM0372,ZONE-B,Restock,2024-06-27
MOV000330,ITM0416,ZONE-J,Restock,2025-03-18
MOV000331,ITM0030,ZONE-B,Restock,2025-07-02
MOV000332,ITM0367,ZONE-G,Restock,2024-07-19
MOV000333,ITM0046,ZONE-I,Retrieval,2024-02-18
MOV000334,ITM0133,ZONE-E,Reposition,2024-09-19
MOV000335,ITM0107,ZONE-G,Retrieval,2024-05-12
MOV000336,ITM0071,ZONE-D,Reposition,2024-12-09
MOV000337,ITM0326,ZONE-B,Reposition,2024-06-24
MOV000338,ITM0417,ZONE-C,Retrieval,2025-01-25
MOV000339,ITM0107,ZONE-B,Restock,2024-01-11
MOV000340,ITM0308,ZONE-E,Retrieval,2024-07-19
MOV000341,ITM0397,ZONE-F,Reposition,2024-01-03
MOV000342,ITM0271,ZONE-G,Reposition,2024-08-01
MOV000343,ITM0170,ZONE-C,Restock,2024-11-02
MOV000344,ITM0115,ZONE-D,Retrieval,2025-06-27
MOV000345,ITM0328,ZONE-H,Reposition,2025-07-13
MOV000346,ITM0073,ZONE-D,Retrieval,2024-11-22
MOV000347,ITM0255,ZONE-G,Restock,2024-07-17
MOV000348,ITM0080,ZONE-F,Restock,2024-04-18
MOV000349,ITM0267,ZONE-G,Reposition,2024-10-17
MOV000350,ITM0127,ZONE-A,Restock,2024-04-17
MOV000351,ITM0325,ZONE-C,Reposition,2025-02-11
MOV000352,ITM0402,ZONE-F,Reposition,2025-07-05
MOV000353,ITM0234,ZONE-C,Restock,2024-02-21
MOV000354,ITM0040,ZONE-G,Restock,2024-04-21
MOV000355,ITM0180,ZONE-I,Retrieval,2024-10-21
MOV000356,ITM0156,ZONE-C,Retrieval,2024-07-07
MOV000357,ITM0453,ZONE-A,Reposition,2024-03-05
MOV000358,ITM0058,ZONE-J,Retrieval,2025-07-27
MOV000359,ITM0344,ZONE-F,Reposition,2025-04-09
MOV000360,ITM0248,ZONE-A,Restock,2024-09-14
MOV000361,ITM0191,ZONE-A,Restock,2024-11-26
MOV000362,ITM0023,ZONE-H,Retrieval,2025-05-15
MOV000363,ITM0472,ZONE-I,Reposition,2024-07-28
MOV000364,ITM0399,ZONE-B,Reposition,2024-03-29
MOV000365,ITM0435,ZONE-I,Retrieval,2024-01-28
MOV000366,ITM0079,ZONE-E,Reposition,2024-08-25
MOV000367,ITM0133,ZONE-H,Reposition,2024-12-01
MOV000368,ITM0420,ZONE-G,Restock,2024-03-03
MOV000369,ITM0212,ZONE-G,Reposition,2025-07-06
MOV000370,ITM0387,ZONE-D,Reposition,2025-05-14
MOV000371,ITM0481,ZONE-B,Reposition,2025-06-24
MOV000372,ITM0347,ZONE-E,Retrieval,2025-04-13
MOV000373,ITM0165,ZONE-C,Retrieval,2024-02-20
MOV000374,ITM0424,ZONE-I,Retrieval,2024-04-21
MOV000375,ITM0347,ZONE-F,Reposition,2024-10-27
MOV000376,ITM0336,ZONE-A,Reposition,2024-03-30
MOV000377,ITM0397,ZONE-C,Retrieval,2024-08-16
MOV000378,ITM0070,ZONE-D,Retrieval,2024-05-29
MOV000379,ITM0213,ZONE-I,Reposition,2024-05-17
MOV000380,ITM0434,ZONE-F,Reposition,2024-05-14
MOV000381,ITM0064,ZONE-D,Restock,2025-04-01
MOV000382,ITM0220,ZONE-A,Retrieval,2025-05-08
MOV000383,ITM0307,ZONE-H,Reposition,2025-06-10
MOV000384,ITM0478,ZONE-B,Retrieval,2024-11-28
MOV000385,ITM0285,ZONE-H,Retrieval,2024-12-27
MOV000386,ITM0184,ZONE-F,Retrieval,2024-06-22
MOV000387,ITM0206,ZONE-H,Restock,2024-07-31
MOV000388,ITM0465,ZONE-F,Reposition,2024-12-08
MOV000389,ITM0098,ZONE-E,Reposition,2024-03-01
MOV000390,ITM0241,ZONE-E,Retrieval,2024-03-01
MOV000391,ITM0157,ZONE-J,Reposition,2025-06-07
MOV000392,ITM0097,ZONE-J,Restock,2024-08-03
MOV000393,ITM0041,ZONE-H,Retrieval,2025-07-31
MOV000394,ITM0138,ZONE-G,Restock,2025-02-26
MOV000395,ITM0282,ZONE-H,Restock,2025-02-26
MOV000396,ITM0407,ZONE-H,Reposition,2025-01-05
MOV000397,ITM0226,ZONE-G,Reposition,2024-07-24
MOV000398,ITM0422,ZONE-B,Restock,2024-10-12
MOV000399,ITM0071,ZONE-I,Reposition,2024-04-14
MOV000400,ITM0242,ZONE-G,Restock,2025-06-26
MOV000401,ITM0017,ZONE-F,Restock,2024-08-29
MOV000402,ITM0076,ZONE-I,Retrieval,2025-05-05
MOV000403,ITM0044,ZONE-A,Restock,2025-05-12
MOV000404,ITM0471,ZONE-B,Restock,2025-03-10
MOV000405,ITM0370,ZONE-A,Reposition,2025-04-28
MOV000406,ITM0342,ZONE-J,Retrieval,2025-03-22
MOV000407,ITM0139,ZONE-C,Reposition,2025-01-18
MOV000408,ITM0176,ZONE-E,Retrieval,2025-05-24
MOV000409,ITM0221,ZONE-A,Reposition,2024-06-18
MOV000410,ITM0414,ZONE-D,Restock,2024-11-18
MOV000411,ITM0091,ZONE-H,Retrieval,2025-04-18
MOV000412,ITM0021,ZONE-F,Retrieval,2024-08-19
MOV000413,ITM0171,ZONE-A,Retrieval,2024-12-24
MOV000414,ITM0091,ZONE-A,Retrieval,2024-10-01
MOV000415,ITM0191,ZONE-C,Reposition,2024-02-01
MOV000416,ITM0076,ZONE-J,Reposition,2024-06-25
MOV000417,ITM0280,ZONE-H,Retrieval,2024-03-05
MOV000418,ITM0363,ZONE-H,Retrieval,2024-01-27
MOV000419,ITM0178,ZONE-C,Retrieval,2025-04-23
MOV000420,ITM0237,ZONE-G,Reposition,2024-09-24
MOV000421,ITM0134,ZONE-C,Retrieval,2024-03-06
MOV000422,ITM0364,ZONE-D,Retrieval,2024-05-12
MOV000423,ITM0389,ZONE-I,Retrieval,2024-12-31
MOV000424,ITM0279,ZONE-D,Reposition,2024-03-22
MOV000425,ITM0018,ZONE-C,Restock,2024-11-23
MOV000426,ITM0082,ZONE-E,Restock,2024-04-07
MOV000427,ITM0227,ZONE-G,Reposition,2024-11-22
MOV000428,ITM0370,ZONE-E,Restock,2025-06-25
MOV000429,ITM0264,ZONE-D,Retrieval,2024-05-04
MOV000430,ITM0111,ZONE-H,Retrieval,2024-07-28
MOV000431,ITM0250,ZONE-D,Reposition,2024-05-12
MOV000432,ITM0163,ZONE-B,Reposition,2025-05-17
MOV000433,ITM0357,ZONE-J,Restock,2024-06-05
MOV000434,ITM0167,ZONE-F,Restock,2025-07-12
MOV000435,ITM0220,ZONE-B,Retrieval,2025-01-16
MOV000436,ITM0407,ZONE-C,Reposition,2024-01-22
MOV000437,ITM0303,ZONE-A,Restock,2025-02-22
MOV000438,ITM0190,ZONE-E,Restock,2025-04-16
MOV000439,ITM0324,ZONE-I,Retrieval,2024-08-21
MOV000440,ITM0436,ZONE-B,Retrieval,2025-07-25
MOV000441,ITM0437,ZONE-G,Retrieval,2025-03-29
MOV000442,ITM0169,ZONE-E,Retrieval,2025-07-23
MOV000443,ITM0374,ZONE-B,Restock,2024-06-10
MOV000444,ITM0044,ZONE-H,Reposition,2024-10-27
MOV000445,ITM0380,ZONE-F,Reposition,2024-11-01
MOV000446,ITM0473,ZONE-D,Retrieval,2024-01-02
MOV000447,ITM0013,ZONE-D,Retrieval,2024-09-27
MOV000448,ITM0230,ZONE-B,Restock,2025-02-24
MOV000449,ITM0156,ZONE-C,Retrieval,2024-05-22
